NOME_VIA,NOME_QUARTIERE
VIA S.SEBASTIANO,Borgo Panigale - Reno
VIA SANDRO BOTTICELLI,Borgo Panigale - Reno
VIA SANTORRE DI SANTAROSA,Borgo Panigale - Reno
VIA SEBASTIANO CABOTO,Borgo Panigale - Reno
VIA SILVESTRO LEGA,Borgo Panigale - Reno
VIA SILVIO PELLICO,Borgo Panigale - Reno
VIA SIMONE DEI CROCEFISSI,Borgo Panigale - Reno
VIA SPERANZA,Borgo Panigale - Reno
VIA SURROGAZIONE RENO,Borgo Panigale - Reno
VIA TADDEO ALDEROTTI,Borgo Panigale - Reno
VIA TELEMACO SIGNORINI,Borgo Panigale - Reno
VIA TINTORETTO,Borgo Panigale - Reno
VIA TITO AZZOLINI,Borgo Panigale - Reno
VIA TIZIANO VECELLIO,Borgo Panigale - Reno
VIA TORQUATO SECCI,Borgo Panigale - Reno
VIA TRAVERSA,Borgo Panigale - Reno
VIA TRILUSSA,Borgo Panigale - Reno
VIA UGO LA MALFA,Borgo Panigale - Reno
VIA UMBERTO BOCCIONI,Borgo Panigale - Reno
VIA UMBERTO BRUNELLI,Borgo Panigale - Reno
VIA UMBRO LORENZINI,Borgo Panigale - Reno
VIA VALERIA,Borgo Panigale - Reno
VIA VINCENZO MENGHINI,Borgo Panigale - Reno
VIA VITALE DA BOLOGNA,Borgo Panigale - Reno
VIA VITTORIA,Borgo Panigale - Reno
VIA VOLFANGO AMEDEO MOZART,Borgo Panigale - Reno
VIA WILIGELMO,Borgo Panigale - Reno
VIALE ALCIDE DE GASPERI,Borgo Panigale - Reno
VIALE GAETANO SALVEMINI,Borgo Panigale - Reno
VIALE PALMIRO TOGLIATTI,Borgo Panigale - Reno
VIALE SANDRO PERTINI,Borgo Panigale - Reno
AUTOSTRADA A-13 (BO-PD),Navile
AUTOSTRADA A-14 (BO-RN),Navile
AUTOSTRADA A-14 (RN-BO),Navile
NOME VIA DA ISTITUIRE,Navile
PASSAGGIO A. MARESCALCHI,Navile
PIAZZA DELL'UNITA',Navile
PIAZZA GIOVANNI DA VERRAZZANO,Navile
PIAZZA LIBER PARADISUS,Navile
PIAZZA MEMORIALE DELLA SHOAH,Navile
PIAZZA SERGIO VIEIRA DE MELLO,Navile
PIAZZALE ALFIO PAPPALARDO,Navile
PIAZZALE PIETRO BRUNE',Navile
PIAZZETTA DON ANTONIO GAVINELLI,Navile
RAMPA TANG.USCITA CINQUE CASALECCHIO-S.LAZZ.,Navile
RAMPA TANG.USCITA CINQUE S.LAZZ.-CASAL.,Navile
ROTONDA 35Â° REGGIMENTO FANTERIA PISTOIA,Navile
ROTONDA ALEX LANGER,Navile
ROTONDA ANTONIO LECCHI,Navile
ROTONDA ARNALDO FORNI,Navile
ROTONDA BITTISIA GOZZADINI,Navile
ROTONDA BRUNO GUALANDI,Navile
ROTONDA CONSIGLIO D'EUROPA,Navile
ROTONDA CORIOLANO MONTI,Navile
ROTONDA DEL TUSCOLANO,Navile
ROTONDA DON GIUSEPPE NOZZI,Navile
ROTONDA MARIA ADELE CROCIONI MICHELINI,Navile
ROTONDA MARTIRI DELLE FOIBE,Navile
ROTONDA PIETRO BUBANI,Navile
